uid expr treatment rep update lineage_label
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12900 3.99969
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13000 3.99802
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13100 3.99294
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13200 4.03964
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13300 4.055
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13400 4.05126
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13500 4.05873
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13600 4.07515
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13700 4.08565
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13800 4.11132
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 13900 4.12504
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14000 4.17301
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14100 4.17782
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14200 4.18562
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14300 4.1944
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14400 4.22214
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14500 4.24403
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14600 4.26617
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14700 4.29322
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14800 4.28437
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 14900 4.30677
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15000 4.32272
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15100 4.32987
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15200 4.32571
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15300 4.31022
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15400 4.33174
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15500 4.3546
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15600 4.37631
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15700 4.39688
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15800 4.40698
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 15900 4.41118
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16000 4.41115
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16100 4.4157
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16200 4.43043
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16300 4.43428
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16400 4.43153
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16500 4.42398
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16600 4.436
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16700 4.43431
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16800 4.44032
